,area,aspect ratio,extent,mean intensity,max intensity,min intensity,orientation,perimeter,solidity,model
58,118.0,2.8198466296220337,0.5959595959595959,0.3592178740483825,1.0,0.09009009009009009,1.334028528649002,49.79898987322332,0.8939393939393939,UNet_1-0
59,1313.0,1.9620996452980264,0.6617943548387096,0.4054031805776225,1.0,0.08875219683655536,-1.504352690588018,169.8528137423857,0.8871621621621621,UNet_1-0
60,251.0,2.676585897323503,0.4121510673234811,0.343209490229824,1.0,0.0973352033660589,-0.5457361026314368,79.25483399593904,0.8508474576271187,UNet_1-0
61,32.0,1.9804177688622073,0.64,0.2858612115732369,0.5401446654611212,0.16690777576853527,1.3815248582618227,19.27817459305202,0.8888888888888888,UNet_1-0
62,141.0,1.866614172124678,0.5300751879699248,0.5806394521180409,1.0,0.13887884267631104,1.3778085109419764,64.2842712474619,0.7121212121212122,UNet_1-0
63,697.0,4.197775345240849,0.44002525252525254,0.33667364764371255,1.0,0.07229186575973917,-0.10866311680281295,173.05382386916236,0.7375661375661375,UNet_1-0
64,486.0,3.5630198700678077,0.3565663976522377,0.11748713409966625,0.5463720201844441,0.02262049765094832,1.0023380185249784,120.81118318204308,0.8181818181818182,UNet_1-0
65,375.0,4.675527803721983,0.45018007202881155,0.09548819674032828,0.44283974247433444,0.026840090481990604,1.2955263306691531,114.08326112068522,0.8223684210526315,UNet_1-0
66,563.0,1.9259111469020442,0.5970307529162248,0.15968249177933372,1.0,0.024126334259394647,-0.23204804903822082,108.1543289325507,0.8922345483359746,UNet_1-0
67,69.0,1.3074939192470545,0.696969696969697,0.42542195557063606,1.0,0.13471089038666192,-0.178683099874447,30.14213562373095,0.8846153846153846,UNet_1-0
68,272.0,2.1122748795896915,0.5494949494949495,0.29288745534706817,1.0,0.06793300271357725,-1.4743062582751811,74.18376618407358,0.8774193548387097,UNet_1-0
69,480.0,1.941933610250292,0.5594405594405595,0.24892404084158415,1.0,0.06485148514851485,-0.9145660307883157,98.32590180780451,0.8679927667269439,UNet_1-0
70,72.0,1.114488767228162,0.8,0.3190390727497829,1.0,0.08232163645434891,0.30463754049930303,28.72792206135785,0.972972972972973,UNet_1-0
71,122.0,1.398609751662155,0.7261904761904762,0.4406348062732831,1.0,0.14757342220370756,-0.9319293975291415,39.798989873223334,0.953125,UNet_1-0
72,2345.0,1.5745419381252874,0.6012820512820513,0.19893324347511177,1.0,0.03115349682107175,1.4924939746780508,229.3441917710342,0.8805858054825385,UNet_1-0
73,22.0,1.8235156496826619,0.6285714285714286,0.07085707208323012,0.10408719346049046,0.0444141689373297,1.3213741591012444,16.449747468305834,0.8461538461538461,UNet_1-0
